501
1 一种玻璃熔窑挂钩砖整体更换方法 周金威;孙亚明;张红军;胡高鹏 宜昌南玻光电玻璃有限公司;中国南玻集团股份有限公司 中国专利 2019-01-11 2019-04-16  收藏 CN109626796A
18 一种磁控溅射镀膜设备中传动辊的拆卸装置 岳大勇;绕杰奎;胡亚玲 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-07-23 2019-03-22  收藏 CN208629335U
19 真空磁控溅射镀膜设备传动辊O型圈安装装置 吴壮;张青涛;解孝辉 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-07-27 2019-03-22  收藏 CN208629342U
20 护眼膜、显示屏和显示器 马志锋;张莉;杜晓峰;孙官恩;周锐 中国南玻集团股份有限公司;深圳南玻显示器件科技有限公司 中国专利 2018-08-28 2019-03-22  收藏 CN208636452U
501
21 冷却水包及锡槽设备 曹联会;李文峰;何海龙;纵峰;张清山;贺立侠;武林雨;王长军 中国南玻集团股份有限公司;河北南玻玻璃有限公司 中国专利 2018-06-20 2019-03-19  收藏 CN208617695U
22 一种玻璃磨边装置 李红球;解孝辉;胡建海;廖月亮;胡亚玲;朱永亮 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-07-19 2019-03-15  收藏 CN208601235U
23 铝硅酸盐玻璃及其制备方法、盖板和显示装置 刘攀;肖子凡;戴斌;邓臻禄;梁其尤;刘建党;龚锋杰;陈志鸿 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2018-11-07 2019-03-08  收藏 CN109437555A
24 全贴合触显屏 方凤军;何建军;毛利良;贾文;姚本明 宜昌南玻显示器件有限公司;中国南玻集团股份有限公司 中国专利 2018-12-26 2019-03-08  收藏 CN109445643A
25 多功能传动台以及板材尺寸测量系统和方法 韩全寿;周锐;肖萌萌 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-08-23 2019-03-05  收藏 CN109422092A
26 中空玻璃涂胶机 娄志勇;崔新礼;黄颖;艾发智;余光辉;梁瑞记 东莞南玻工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-04-27 2019-03-01  收藏 CN208554822U
27 玻璃翻转机构 娄志勇;崔新礼;黄颖;艾发智;余光辉;梁瑞记 东莞南玻工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-04-27 2019-03-01  收藏 CN208560776U
28 减反射玻璃及其制备方法 谭小安;王琦 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-08-09 2019-02-26  收藏 CN109383083A
29 玻璃装箱装置及玻璃装箱方法 韩全寿;周锐;叶传胜;肖萌萌 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-08-11 2019-02-26  收藏 CN109383873A
30 玻璃自动化连线系统及方法 韩全寿;肖萌萌 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-08-11 2019-02-26  收藏 CN109384046A
31 一种玻璃表面冲洗装置 廖传根;唐福;张万松;徐林;李建根 四川南玻节能玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-07-26 2019-02-22  收藏 CN208527622U
32 一种高效生产多晶硅的还原装置及工艺 艾浩;高长昆;左昭贵;高明;陈静 中国南玻集团股份有限公司;宜昌南玻硅材料有限公司 中国专利 2018-11-02 2019-02-12  收藏 CN109319787A
33 透明显示中空玻璃 赵鹏;王战娥;杨晓宁 中国南玻集团股份有限公司 中国专利 2018-05-24 2019-02-12  收藏 CN208486785U
34 堆垛机分度平台同步运行控制系统和玻璃生产设备 杨尚文;王刚;贺杰锋;房辉;范卫华;李云龙;武林雨;王长军 中国南玻集团股份有限公司;河北南玻玻璃有限公司 中国专利 2018-06-14 2019-02-05  收藏 CN208471027U
35 铝硅酸盐玻璃及制备方法、电子显示屏保护玻璃 何浩波;刘建党;肖子凡;邓臻禄;戴斌;刘攀 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2018-09-25 2019-02-01  收藏 CN109293234A
36 锡槽顶盖及浮法玻璃生产线 曹联会;晏振龙;赵宝盛;李文峰;李博;纵峰;武林雨;王长军 中国南玻集团股份有限公司;河北南玻玻璃有限公司 中国专利 2018-06-14 2019-01-22  收藏 CN208414212U
37 边封盖板组件及锡槽设备 曹联会;李文峰;何海龙;丁润禄;张宝民;纵峰;张清山;武林雨;王长军 中国南玻集团股份有限公司;河北南玻玻璃有限公司 中国专利 2018-06-11 2019-01-22  收藏 CN208414214U
38 压轮机构及清边设备 杨尚文;王刚;杨玉梅;张宁;房辉;范卫华;李云龙;武林雨;王长军 中国南玻集团股份有限公司;河北南玻玻璃有限公司 中国专利 2018-06-26 2019-01-22  收藏 CN208414236U
39 掰断装置 郝刚;丁天龙;武林雨;王长军 河北南玻玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-06-21 2019-01-22  收藏 CN208420482U
40 玻璃堆放架安全防护装置和玻璃堆放架 杨尚文;张宁;褚智东;石颖辉;刘靖雨;刘治达;李云龙;武林雨;王长军 中国南玻集团股份有限公司;河北南玻玻璃有限公司 中国专利 2018-06-14 2019-01-22  收藏 CN208412652U
501
41 一种屋顶提升机装置 宋洪雨;韩春伟;张荣光 天津南玻节能玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-03-23 2019-01-22  收藏 CN208413693U
42 红外仪的调节装置及调节系统 贺杰锋;何海龙;刘嘉华;刘卫春;王刚;武林雨;王长军 中国南玻集团股份有限公司;河北南玻玻璃有限公司 中国专利 2018-06-26 2019-01-22  收藏 CN208420181U
43 模具 樊颖;周翔磊;郭君雅;平文亮 中国南玻集团股份有限公司;清远南玻节能新材料有限公司 中国专利 2017-07-11 2019-01-18  收藏 CN109231799A
44 半反半透玻璃及其制备方法 谭小安;王琦 中国南玻集团股份有限公司 中国专利 2017-07-11 2019-01-18  收藏 CN109231847A
45 集中混流供风装置及方法 王帅;景志宏;朱雷;梁其尤;刘红刚;龚锋杰;王明忠 中国南玻集团股份有限公司;清远南玻节能新材料有限公司 中国专利 2017-06-30 2019-01-15  收藏 CN109205996A
46 纳米核壳二氧化硅微球及增透减反复合镀膜液制备应用 周志文;陈刚;王科;宋辉;陈志鸿;刘明刚;纪朋远;唐高山 东莞南玻太阳能玻璃有限公司;中国南玻集团股份有限公司 中国专利 2016-05-06 2019-01-11  收藏 CN105964195B
47 光伏组件的边框结构 李建;李家兰;罗飞;叶雄新 东莞南玻光伏科技有限公司;中国南玻集团股份有限公司 中国专利 2018-08-01 2019-01-11  收藏 CN109194264A
48 一种用于切片机的储线装置 李钊;朱敏;梁学勤;李宏;张军 宜昌南玻硅材料有限公司;中国南玻集团股份有限公司 中国专利 2018-06-21 2019-01-04  收藏 CN208323863U
49 过渡态氧化镍铬膜层的制备方法及包含该过渡态氧化镍铬膜层的可钢化低辐射镀膜玻璃 唐晶;梁干;武瑞军 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-07-19 2019-01-04  收藏 CN109136870A
50 硼铝硅酸盐玻璃及其制备方法 平文亮 中国南玻集团股份有限公司;清远南玻节能新材料有限公司 中国专利 2017-06-26 2019-01-01  收藏 CN109111104A
51 透明显示夹层玻璃 赵鹏;王战娥;杨晓宁 中国南玻集团股份有限公司 中国专利 2018-05-24 2019-01-01  收藏 CN208314440U
52 玻璃输送装置 娄志勇;崔新礼;黄颖;艾发智;余光辉;梁瑞记 东莞南玻工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-04-27 2019-01-01  收藏 CN208307909U
53 双玻太阳能光伏组件 陈志穗;杨江海;梁杭伟;叶雄新;彭华 东莞南玻光伏科技有限公司;中国南玻集团股份有限公司 中国专利 2016-07-29 2019-01-01  收藏 CN106229364B
54 玻璃澄清剂、硼铝硅酸盐玻璃及其制备方法、玻璃基板和显示器 刘攀;刘建党;肖子凡;邓臻禄;戴斌;何浩波;李红香;陈自发 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2018-09-04 2018-12-21  收藏 CN109052928A
55 硅酸盐玻璃及其制备方法、玻璃基板和显示器 刘攀;邓臻禄;肖子凡;戴斌;何浩波;孙恒裕;刘建党;陈志鸿 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2018-09-04 2018-12-21  收藏 CN109052936A
56 透过色中性的可钢化双银低辐射镀膜玻璃及其制备方法 梁干;唐晶;武瑞军;宋保柱 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-07-31 2018-12-21  收藏 CN109052990A
57 一种过渡辊台及浮法玻璃生产系统 范永乐;古小忠;石自良;王涛;付晓光 河北视窗玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-03-26 2018-12-18  收藏 CN208250162U
58 玻璃磨边机 娄志勇;崔新礼;黄颖;艾发智;余光辉;梁瑞记 东莞南玻工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-04-27 2018-12-18  收藏 CN208246469U
59 透过色中性的可钢化单银低辐射镀膜玻璃及其制备方法 梁干;唐晶;武瑞军 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-07-31 2018-12-14  收藏 CN108996919A
60 红外仪的调节装置及调节系统 贺杰锋;何海龙;刘嘉华;刘卫春;王刚;武林雨;王长军 中国南玻集团股份有限公司;河北南玻玻璃有限公司 中国专利 2018-06-26 2018-12-14  收藏 CN109000802A
501
61 太阳能电池及其制备方法和光伏组件 赖海文;吴娟;宋海峰;李家兰;梁杭伟;叶雄新;孙小菩 东莞南玻光伏科技有限公司;中国南玻集团股份有限公司 中国专利 2018-07-26 2018-12-14  收藏 CN109004038A
62 超低反可钢化LOW-E玻璃 唐晶;武瑞军;梁干 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-09-30 2018-12-11  收藏 CN108975726A
63 导光板玻璃、其制备方法及应用 肖子凡;王杏娟;陶武刚;何浩波 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-05-27 2018-12-07  收藏 CN108947238A
64 浮法玻璃制造装置及其过渡辊台 赵仁民;欧斌;袁伟;刘红刚;龚锋杰;王明忠 清远南玻节能新材料有限公司;中国南玻集团股份有限公司 中国专利 2018-03-09 2018-12-07  收藏 CN208200747U
65 减反射膜和减反射玻璃 谭小安;吕宜超;王琦;崔平生 中国南玻集团股份有限公司 中国专利 2018-04-09 2018-12-07  收藏 CN208200754U
66 减反射玻璃 谭小安;吕宜超;王琦;崔平生 中国南玻集团股份有限公司 中国专利 2018-04-09 2018-12-07  收藏 CN208200755U
67 一种离线低辐射镀膜玻璃及其制备方法和用途 刘双;胡冰;张荣光 天津南玻节能玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-09-29 2018-11-30  收藏 CN108911527A
68 一种玻璃钢化炉 张青涛;解孝辉;吴壮 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-04-28 2018-11-30  收藏 CN208166847U
69 一种可后续加工的绿色低辐射镀膜玻璃 邓云军;黄成龙;李建根;朱将宏 四川南玻节能玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-05-14 2018-11-30  收藏 CN208164433U
70 玻璃易洁液及其制备方法、易洁玻璃及其制备方法与应用 梁海潮;王琦 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2018-07-17 2018-11-27  收藏 CN108893054A
71 旋转靶驱动装置 谢守荣;余华骏;黄颖;艾发智;梁瑞记 东莞南玻工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2016-05-25 2018-11-27  收藏 CN208151472U
72 平板玻璃弯曲度的检测装置及检测方法 郝刚;丁天龙;贺立侠;朱伟;王长军 河北南玻玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-10-10 2018-11-27  收藏 CN108895949A
73 玻璃熔窑用冷却装置 何海龙;纵峰;阮传富;贺杰锋;刘嘉华;武林雨;王长军 河北南玻玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-08-21 2018-11-23  收藏 CN108863020A
74 一种多晶硅水冷铸锭炉溢流保护装置 李普;李春林;鞠磊;肖宗卫;李宏;张军 宜昌南玻硅材料有限公司;中国南玻集团股份有限公司 中国专利 2018-09-27 2018-11-20  收藏 CN108842182A
75 一种新型可钢化Low-E节能玻璃 李建根;徐伯永;邓云军;黄成龙 四川南玻节能玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-02-27 2018-11-20  收藏 CN208120978U
76 铝硅酸盐玻璃、其制备方法及应用 赵得翔 中国南玻集团股份有限公司 中国专利 2016-04-28 2018-11-16  收藏 CN108821566A
77 一种磁控溅射镀膜设备保压系统 岳大勇;张青涛;解孝辉 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-04-28 2018-11-16  收藏 CN208104532U
78 一种辊道轴拆卸装置 吴壮;解孝辉;张青涛 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-04-28 2018-11-16  收藏 CN208100265U
79 一种玻璃清洗装置 王艮;胡建海;李红球 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-02-27 2018-11-16  收藏 CN208098846U
80 用于玻璃熔窑池壁缝的冷却风嘴、冷却系统及玻璃熔窑 蒋江;梁其尤;袁伟;魏猛;刘红刚;龚锋杰;王明忠 中国南玻集团股份有限公司;清远南玻节能新材料有限公司 中国专利 2017-05-03 2018-11-13  收藏 CN108793681A
501
81 一种化学强化用玻璃及其制备方法和应用 李聚锋;蔡礼貌;韩正伟;李彦涛 河北视窗玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-08-21 2018-11-13  收藏 CN108793732A
82 X射线荧光光谱法分析氢氧化铝中成分含量的方法、氢氧化铝及其应用 李欣;庞振辉;丁天龙;贺立侠;吴宏;王长军 中国南玻集团股份有限公司;河北南玻玻璃有限公司 中国专利 2018-06-12 2018-11-13  收藏 CN108802084A
83 一种高透光率可单片使用的节能玻璃 梁干;唐晶;武瑞军 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-07-31 2018-11-09  收藏 CN108774006A
84 减反射膜和减反射玻璃 谭小安;吕宜超 中国南玻集团股份有限公司 中国专利 2017-12-13 2018-11-09  收藏 CN208069029U
85 中空玻璃、玻璃幕墙及建筑 李文胜;童帅 深圳南玻应用技术有限公司;中国南玻集团股份有限公司 中国专利 2018-01-12 2018-11-09  收藏 CN208072712U
86 一种用于阴极磁棒的变形调整装置 吴壮;张青涛;解孝辉 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-04-20 2018-11-06  收藏 CN208055455U
87 护眼膜、显示屏和显示器 马志锋;张莉;杜晓峰;孙官恩;周锐 中国南玻集团股份有限公司;深圳南玻显示器件科技有限公司 中国专利 2018-08-28 2018-11-06  收藏 CN108761615A
88 玻璃料坯及玻璃的制备方法 邓臻禄;刘建党;肖子凡;戴斌;何浩波;刘攀 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-04-21 2018-11-02  收藏 CN108726847A
89 玻璃、其制备方法及应用 邓臻禄;刘建党;肖子凡;戴斌;何浩波;刘攀 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-04-21 2018-11-02  收藏 CN108726874A
90 铝硅酸盐玻璃及强化玻璃 戴斌;肖子凡 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-04-21 2018-11-02  收藏 CN108726875A
91 可离子交换的铝乳浊玻璃及其制备方法 肖子凡;刘建党;何浩波;邓臻禄;戴斌;刘攀 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2018-06-11 2018-11-02  收藏 CN108726876A
92 高透过率可单片使用的镀膜玻璃 梁干;唐晶;武瑞军;宋保柱 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-07-31 2018-11-02  收藏 CN108726890A
93 一种单银低辐射镀膜玻璃 王栋权;宋保柱;米永江 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-07-19 2018-11-02  收藏 CN108726892A
94 掰断装置 郝刚;丁天龙;武林雨;王长军 河北南玻玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-06-21 2018-11-02  收藏 CN108731997A
95 一种新型可钢化双银低辐射节能玻璃 张开欣;李建根;黄成龙;徐伯永;邓军;李勇 四川南玻节能玻璃有限公司;中国南玻集团股份有限公司 中国专利 2017-04-14 2018-11-02  收藏 CN108728806A
96 光伏电站发电和厂区用电比例的预测方法 陈志穗;定明辉;余树红;石建伟;刘兵;沈大鹏;饶志峰 中国南玻集团股份有限公司;深圳南玻光伏能源有限公司 中国专利 2017-09-08 2018-11-02  收藏 CN108736510A
97 一种适用于平面靶磁铁场强测量的定位装置 吴壮;张青涛;解孝辉 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-04-28 2018-10-26  收藏 CN208013398U
98 色调调节剂、铝硅酸盐玻璃及其制备方法 何浩波;肖子凡;邓臻禄;戴斌 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-03-31 2018-10-16  收藏 CN108658452A
99 一种防止玻璃倾倒的放置架 夏林刚;徐林;李建根 四川南玻节能玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-02-01 2018-10-02  收藏 CN207932637U
100 一种用于切片机的储线装置及布线方法 李钊;朱敏;梁学勤;李宏;张军 宜昌南玻硅材料有限公司;中国南玻集团股份有限公司 中国专利 2018-06-21 2018-09-28  收藏 CN108582530A
501
101 一种生产中空玻璃的方法 熊伟;张开欣;徐伯永;邓云军;李建根 四川南玻节能玻璃有限公司;中国南玻集团股份有限公司 中国专利 2017-03-09 2018-09-25  收藏 CN108569839A
102 可调平面阴极机构及真空镀膜装置 陈海峰;梁忠;霍启科 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-03-08 2018-09-25  收藏 CN108570648A
103 取出器 贺杰锋;杨玉梅;王刚;翟树友;武林雨;王长军 河北南玻玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-05-31 2018-09-21  收藏 CN108555829A
104 一种玻璃落板控制方法、系统、存储介质和玻璃生产设备 王刚;贺杰锋;杨尚文;刘嘉华;刘卫春;武林雨;王长军 河北南玻玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-05-18 2018-09-14  收藏 CN108529868A
105 可离子交换的玻璃及其制备方法 何浩波;刘建党;肖子凡;邓臻禄;戴斌;刘攀 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2018-03-30 2018-09-14  收藏 CN108529873A
106 一种降低玻璃化学强化中产生翘曲的方法及强化用治具 蔡礼貌;李聚锋;韩正伟;龚瑞龙;其他发明人请求不公开姓名 河北视窗玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-05-23 2018-09-11  收藏 CN108516702A
107 铝硅酸盐玻璃及强化玻璃 平文亮;周翔磊;王明忠;刘红刚;樊颖 中国南玻集团股份有限公司;清远南玻节能新材料有限公司 中国专利 2017-02-23 2018-09-07  收藏 CN108503213A
108 玻璃上片装置 韩全寿;周锐;叶传胜;朱国新 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-02-27 2018-09-07  收藏 CN108502541A
109 光伏玻璃 龚强;周泓崑;余树红;刘沛涛;许武毅 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-02-23 2018-09-07  收藏 CN108511545A
110 弯钢化设备及其加热结构 程立华 深圳南玻应用技术有限公司;中国南玻集团股份有限公司 中国专利 2017-12-07 2018-08-31  收藏 CN207793050U
111 浮法玻璃的缺陷检测方法及装置 施学雨;张福松;刘建伟;杨慧 河北视窗玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-03-16 2018-08-31  收藏 CN108469437A
112 冷却水包及锡槽设备 曹联会;李文峰;何海龙;纵峰;张清山;贺立侠;武林雨;王长军 中国南玻集团股份有限公司;河北南玻玻璃有限公司 中国专利 2018-06-20 2018-08-28  收藏 CN108455827A
113 一种地面安装光伏电池板的电动清洗装置 宋洪雨 天津南玻节能玻璃有限公司;中国南玻集团股份有限公司 中国专利 2017-09-26 2018-08-28  收藏 CN207770359U
114 降低多晶硅干法回收工艺HCl吸收液中轻组分杂质含量的装置及方法 刘志星;田洪先;高明;矫旭东 宜昌南玻硅材料有限公司;中国南玻集团股份有限公司 中国专利 2018-05-11 2018-08-24  收藏 CN108439411A
115 一种减反射镀膜结构 刘双;张荣光;胡冰;杜彦 天津南玻节能玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-06-13 2018-08-24  收藏 CN108441837A
116 一种用于玻璃生产中的喷淋装置 何天黎;田富;钟建;解孝辉 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2017-12-20 2018-08-24  收藏 CN207756557U
117 一种可后续加工的绿色低辐射镀膜玻璃 黄成龙;邓云军;李建根;邓军;李勇 四川南玻节能玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-05-14 2018-08-17  收藏 CN108407406A
118 玻璃及浮法玻璃 肖子凡;何浩波;陶武刚;王杏娟 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-02-08 2018-08-14  收藏 CN108395096A
119 一种拼接镀膜夹层玻璃 崔鹏;唐晶;张勇;付俊涛 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2017-12-26 2018-07-31  收藏 CN207671937U
120 一种防止玻璃自爆损伤的热浸处理支架 陆军;崔鹏;张衡 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2017-12-20 2018-07-27  收藏 CN207659317U
501
121 正面和侧面反射色调一致的双银Low-E玻璃 宋保柱;米永江;李奎 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2017-12-20 2018-07-27  收藏 CN207659331U
122 一种钢化前后颜色一致的单银Low-E玻璃 宋保柱;唐晶;王栋权 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2017-12-20 2018-07-27  收藏 CN207659332U
123 玻璃测量装置、玻璃上片设备及控制方法 韩全寿;周锐;叶传胜;朱国新 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-01-19 2018-07-27  收藏 CN108326843A
124 玻璃、其制备方法、强化玻璃、玻璃板及应用 肖子凡;王杏娟;陶武刚;王明忠;何浩波;邓臻禄;戴斌 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-01-16 2018-07-24  收藏 CN108314315A
125 镀膜基材以及离子束源沉积制备镀膜基材的方法 吕宜超;王琦;崔平生;何顺卿;黄剑 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-01-16 2018-07-24  收藏 CN108315700A
126 镀膜基材以及离子束源沉积制备镀膜基材的方法 吕宜超;王琦;崔平生;何顺卿;黄剑 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-01-16 2018-07-24  收藏 CN108315701A
127 一种过渡辊台及浮法玻璃生产系统 范永乐;古小忠;石自良;王涛;付晓光 河北视窗玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-03-26 2018-07-20  收藏 CN108298808A
128 掺锆二氧化硅聚合物溶胶及其增透减反镀膜液的制备应用 周志文;王科;陈刚;陈海峰;刘明刚;陈廷忠;梁克麒;纪朋远 东莞南玻太阳能玻璃有限公司;中国南玻集团股份有限公司 中国专利 2017-09-07 2018-07-20  收藏 CN108300286A
129 透明显示玻璃及显示系统 赵鹏;王战娥 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-10-31 2018-07-10  收藏 CN207601485U
130 玻璃装箱装置 韩全寿;周锐;叶传胜;肖萌萌 深圳南玻应用技术有限公司;中国南玻集团股份有限公司 中国专利 2017-08-11 2018-07-10  收藏 CN207595344U
131 一种图案式镀膜玻璃的生产方法 崔鹏;唐晶;陆军 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-03-07 2018-06-29  收藏 CN108218244A
